ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10003607,HY193186,3/21/2015 8:00,030XX W BERTEAU AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1724,17,33,16,6,1155158,1927756,2015,2/10/2018 15:50,41.95757286,-87.70498081,"(41.957572856, -87.704980813)"
10003609,HY193249,3/21/2015 7:00,0000X N HOYNE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1223,12,2,28,14,1162403,1900473,2015,2/10/2018 15:50,41.88255761,-87.679111,"(41.882557605, -87.679111003)"
10003610,HY193216,3/21/2015 14:40,102XX S WENTWORTH AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,511,5,9,49,08B,1176749,1837018,2015,2/10/2018 15:50,41.7081187,-87.62834348,"(41.708118695, -87.628343483)"
10003611,HY193218,3/21/2015 0:27,100XX W OHARE ST,810,THEFT,OVER $500,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,FALSE,FALSE,1651,16,41,76,6,1100658,1934241,2015,2/10/2018 15:50,41.97629041,-87.90522722,"(41.976290414, -87.905227221)"
10003612,HY193262,3/20/2015 19:00,0000X W HUBBARD ST,890,THEFT,FROM BUILDING,BAR OR TAVERN,FALSE,FALSE,1831,18,42,8,6,1176050,1903312,2015,2/10/2018 15:50,41.89005157,-87.62891376,"(41.890051565, -87.62891376)"
10003613,HY191720,3/20/2015 11:00,009XX W 129TH PL,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,523,5,34,53,08B,1172573,1818884,2015,2/10/2018 15:50,41.65844888,-87.6441674,"(41.658448879, -87.644167401)"
10003615,HY193016,3/21/2015 11:30,009XX E 104TH ST,460,BATTERY,SIMPLE,APARTMENT,FALSE,FALSE,512,5,9,50,08B,1184238,1836191,2015,2/10/2018 15:50,41.70567778,-87.60094436,"(41.705677782, -87.600944364)"
10003616,HY193270,3/20/2015 16:00,030XX N HONORE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1931,19,32,5,14,1163591,1920056,2015,2/10/2018 15:50,41.93626979,-87.67419606,"(41.936269793, -87.674196058)"
10003617,HY193164,3/21/2015 13:55,075XX S HARVARD AVE,2028,NARCOTICS,POSS: SYNTHETIC DRUGS,STREET,TRUE,FALSE,623,6,17,69,18,1175371,1855056,2015,2/10/2018 15:50,41.75764818,-87.63285217,"(41.757648178, -87.632852174)"
10003618,HY193161,3/20/2015 20:00,007XX S KARLOV AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,1132,11,24,26,5,1149169,1896345,2015,2/10/2018 15:50,41.87149646,-87.72781377,"(41.871496464, -87.727813774)"
10003619,HY193050,3/21/2015 12:05,037XX W OHIO ST,460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,1122,11,27,23,08B,1151129,1903737,2015,2/10/2018 15:50,41.89174274,-87.72042398,"(41.891742743, -87.720423978)"
10003621,HY192032,4/6/2014 13:00,040XX S FEDERAL ST,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,RESIDENCE,TRUE,FALSE,213,2,3,38,17,1176353,1878270,2014,2/10/2018 15:50,41.82132775,-87.62855588,"(41.821327751, -87.628555876)"
10003624,HY193272,3/21/2015 12:38,088XX S WOOD ST,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,RESIDENCE,TRUE,FALSE,2221,22,21,71,26,1165889,1846091,2015,2/10/2018 15:50,41.73325353,-87.66785661,"(41.733253531, -87.667856608)"
